"","Year.Reported.to.CDP","Account.Number","Organization","City","Country","CDP.Region","First.Time.Discloser","Population","City.Location","Sustainability.Targets.Master.Planning","Risk.Assessment.Actions","Nb.Hazards.Type","Hazards.Exposure.Level","Adaptation.Challenges.Health","Adaptation.Challenges.Economic","Adaptation.Challenges.Environment","Adaptation.Challenges.Infrastructure","Adaptation.Challenges.Social","Adaptation.Challenges.Governance","Adaptation.Challenges.Education","Adaptation.Challenges.Level","Risk.Health.System","Nb.Adaptation.Actions","Adaptation.Plan","City.Wide.Emissions.Inventory","GHG.Emissions.Primary.protocol","GHG.Emissions.Evolution","GHG.Emissions.Consumption","GHG.Emissions.External.Verification","GHG.Emissions.Reductions.Targets","Emissions.Reductions.Mitigation.Planning","Opportunities.Collaboration","Renewable.Energy.Target","Electricity.Source.Biomass","Electricity.Source.Coal","Electricity.Source.Gas","Electricity.Source.Geothermal","Electricity.Source.Hydro","Electricity.Source.Nuclear","Electricity.Source.Oil","Electricity.Source.Other","Electricity.Source.Solar","Electricity.Source.Wind","Electricity.Source.Renewable","Energy.Efficnecy.Target","Transport.Mode.Passenger.Public","Transport.Mode.Passenger.Cycling","Transport.Mode.Passenger.Other","Transport.Mode.Passenger.Private.motorized","Transport.Mode.Passenger.Walking","Low.Zero.Emission.Zone","Food.Consumption.Policies","Potable.Water.Supply.Percent","Water.Resource.Management.strategy","lat","long","Country.Code.3"
"20",2020,59572,"District of Saanich, BC","Saanich","Canada","North America","No",114148,"POINT (123.378 48.4594)","Yes","Yes",11,40,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",4,"Yes","Yes","GPC","Decreased","Yes","Yes","Fixed level target","Yes","Yes","Yes",NA,0,1.76,NA,95.57,NA,NA,2.67,NA,NA,NA,"Yes",10,5,NA,77,8,"No","Yes",100,"Yes",48.5142,-123.3839,"CAN"
"21",2020,35859,"City of Cleveland","Cleveland","United States of America","North America","No",383793,"POINT (-81.6944 41.4993)","Yes","Yes",3,56,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",3,"Yes","Yes","GPC","Increased","Not intending to undertake","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","Yes",0.38,34.85,25.34,0,5.74,30.47,0.03,0.89,0.02,2.28,8.04,"Yes",10.3,1.1,4,78.8,5.8,"No","Yes",100,"Yes",41.4993,-81.6944,"USA"
"22",2020,50354,"Alcaldía de Tegucigalpa","Tegucigalpa","Honduras","Latin America","No",1225043,"POINT (-87.2044 14.1051)","Intending to incorporate in the next 2 years","Yes",4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","Yes","GPC","Do not know",NA,"Do not know","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",71,"Intending to undertake in next 2 years",14.1051,-87.2044,"HND"
"23",2020,50674,"Município de Viseu","Viseu","Portugal","Europe","No",97249,"POINT (-7.91247 40.6566)","Yes","Yes",5,58,0,0,0,0,0,1,0,1,"Yes",5,"Yes","Yes","2006 IPCC Guidelines","This is our first year of calculation","Yes","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",6,0,0,0.4,14.3,0,0,0,1.9,22.9,39.5,"Yes",0,0,0,NA,NA,"No","Yes",98,"In progress",40.6566,-7.91247,"PRT"
"24",2020,31167,"City of Lagos","Lagos","Nigeria","Africa","No",2.1e+07,"POINT (3.3792 6.52437)","Yes","Yes",3,50,0,4,0,1,0,1,0,6,"Yes",4,"Yes","Yes","GPC","Decreased","Intending to undertake in the next 2 years","Yes","No target","Yes","Yes","In progress",NA,NA,99,NA,NA,NA,NA,NA,1,NA,NA,"In progress",47.41,1,0.34,11,40,"No","No",40,"Intending to undertake in next 2 years",6.52437,3.3792,"NGA"
"25",2020,3422,"Greater London Authority","London","United Kingdom of Great Britain and Northern Ireland","Europe","No",8908081,"POINT (-0.07868 51.5048)","Yes","Yes",5,73,0,1,0,0,0,0,0,1,"No",9,"Yes","Yes","City specific methodology","Decreased","Yes","In progress","Base year emissions (absolute) target","Yes","Yes","Yes",NA,5.1,39.5,0,1.7,19.5,2.9,10.4,3.9,17.1,22.7,"In progress",35.2,2.4,1.4,36.5,24.4,"Yes","Yes",100,"Intending to undertake in next 2 years",51.5048,-0.07868,"GBR"
"26",2020,60117,"Winchester City Council","Winchester","United Kingdom of Great Britain and Northern Ireland","Europe","Yes",124100,"","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Base year emissions (absolute) target",NA,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.4419,15.2663,"GBR"
"27",2020,49342,"City of Rochester","Rochester","United States of America","North America","No",210563,"POINT (-77.6109 43.161)","Yes","Yes",4,73,0,1,2,0,0,0,0,3,"Do not know",4,"Yes","Yes","ICLEI","Do not know","Not intending to undertake","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Intending to undertake in the next 2 years",NA,1,8,NA,40,41,2,3,NA,7,NA,"Intending to undertake in the next 2 years",30,10,10,40,10,"No","No",100,"Yes",43.161,-77.6109,"USA"
"28",2020,31108,"City of Houston","Houston","United States of America","North America","No",2343365,"POINT (-95.3694 29.7602)","Yes","Yes",7,121,0,1,1,2,0,3,0,7,"Yes",13,"Yes","Yes","GPC","Decreased","Intending to undertake in the next 2 years","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","Yes",0.24,22.62,48.55,0,0.22,10,0.03,0.55,0.77,17.02,18.01,"Yes",3.8,NA,6.6,78.1,1.5,"No","No",100,"Yes",29.7602,-95.3694,"USA"
"29",2020,50154,"City of Turku","Turku","Finland","Europe","No",193000,"POINT (22.2666 60.4518)","Yes","Yes",5,91,1,0,1,1,0,0,0,3,"Yes",8,"Yes","Yes","2006 IPCC Guidelines","Decreased","Yes","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",12.6,21,3.8,0,28.1,16.7,0.2,14.9,0,2.7,30.8,"Yes",10,10,2,49,29,"No","Yes",100,"Yes",60.4518,22.2666,"FIN"
"30",2020,58310,"City of Roanoke","Roanoke","United States of America","North America","No",99920,"POINT (-79.9414 37.271)","Yes","Intending to undertake in the next 2 years",3,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Do not know","Yes","GPC","Stayed the same","Not intending to undertake","Not intending to undertake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.271,-79.9414,"USA"
"31",2020,845309,"Puente Piedra","","Peru","Latin America","Yes",NA,"",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"In progress","Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"In progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.8768271,-77.0744820650776,"PER"
"32",2020,50220,"Métropole Nice Côte d'Azur","Nice","France","Europe","No",540000,"POINT (7.26195 43.7102)","Yes","Yes",1,16,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",9,"Yes","Yes","GPC","Increased","Not intending to undertake","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Yes",1.6,1.4,6.6,NA,12,72.3,0.6,NA,1.6,3.9,NA,"Yes",10,1,NA,46,38,"No","Yes",100,"Yes",43.7102,7.26195,"FRA"
"33",2020,59165,"Gladsaxe Kommune","Gladsaxe","Denmark","Europe","No",69262,"POINT (12.4887 55.7335)","Yes","Yes",1,12,NA,NA,NA,NA,NA,NA,NA,NA,"No",4,"Yes","Yes","GPC","Decreased","Intending to undertake in the next 2 years","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Yes",18,11,7,0,7,4,1,NA,6,46,59,"In progress",18,9,3,66,4,"No","Yes",100,"Yes",55.7335,12.4887,"DNK"
"34",2020,54667,"Prefeitura Municipal de Contagem","Contagem","Brazil","Latin America","No",659070,"","Intending to incorporate in the next 2 years","Intending to undertake in the next 2 years",2,8,0,0,0,1,0,0,0,1,"Do not know",3,"Intending to undertake in the next 2 years","In progress","GPC",NA,NA,NA,"No target","Intending to undertake in the next 2 years","Yes","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"No","Do not know",NA,"In progress",-21.53879635,-42.1809782686909,"BRA"
"35",2020,16581,"City of Seattle","Seattle","United States of America","North America","No",704352,"POINT (-122.332 47.6062)","Yes","Yes",3,60,0,1,0,0,1,0,0,2,"Yes",10,"Yes","Yes","ICLEI","Decreased","Intending to undertake in the next 2 years","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",1,0,0,0,86,5,0,1,0,7,93,"Yes",5.2,0.9,1.9,80.6,11.3,"No","Yes",100,"Yes",47.6062,-122.332,"USA"
"36",2020,60400,"Municipalidad de Temuco","","Chile","Latin America","No",282415,"","Yes","Intending to undertake in the next 2 years",2,33,NA,NA,NA,NA,NA,NA,NA,NA,"No",1,"Yes","Intending to undertake in the next 2 years",NA,NA,NA,NA,"Fixed level target","In progress","Intending to undertake in the next 2 years","Not intending to undertake",53.7,3.9,12.1,NA,NA,NA,4.5,25.8,NA,NA,NA,"Do not know",NA,NA,NA,NA,NA,"No","No",100,"Intending to undertake in next 2 years",-38.7397933,-72.5909289,"CHL"
"37",2020,31051,"Coventry City Council","Coventry","United Kingdom of Great Britain and Northern Ireland","Europe","No",366785,"POINT (-1.51217 52.4066)","Yes","Yes",5,62,0,0,1,0,1,0,0,2,"Yes",4,"Yes","Yes","Regional or country specific methodology","Decreased","Not intending to undertake","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Intending to undertake in the next 2 years",8.6,6,38,8.6,8.6,11,0,2,8.6,8.6,34.4,"Intending to undertake in the next 2 years",17,3,0,64,16,"No","No",NA,"Not intending to undertake",52.4066,-1.51217,"GBR"
"38",2020,35883,"City of San José","San José, CA","United States of America","North America","No",1046079,"POINT (-121.886 37.3382)","Yes","Yes",6,103,0,1,0,0,1,0,0,2,"Yes",14,"Yes","Yes","GPC","Decreased","Intending to undertake in the next 2 years","Not intending to undertake","Fixed level target","Yes","Yes","Yes",5,0,0,2,36,0,0,17,30,10,78,"Yes",3.9,0.6,5.7,87.8,2,"No","Yes",100,"Yes",37.3382,-121.886,"USA"
"39",2020,44299,"Dangjin City","Dangjin-si","Republic of Korea","East Asia","Yes",166057,"","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Yes","Other","Increased","Do not know","Do not know","No target","Do not know","Yes","Yes",NA,80,15,NA,NA,NA,NA,5,NA,NA,NA,"Do not know",NA,NA,NA,NA,NA,"No","Do not know",100,"Intending to undertake in next 2 years",36.8944,126.6297,"KOR"
"40",2020,62855,"Egedal Municipality","Egedal","Denmark","Europe","No",43354,"POINT (12.2387 55.795)","Yes","Yes",4,26,NA,NA,NA,NA,NA,NA,NA,NA,"No",3,"Yes","Yes","GPC","Stayed the same","Not intending to undertake","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Yes",13,9,7,0,11,5,1,5,4,45,60,"Yes",8,11,4,64,14,"No","Yes",100,"Yes",55.795,12.2387,"DNK"
"41",2020,43911,"City of Ottawa","Ottawa","Canada","North America","No",991429,"POINT (-75.6972 45.4215)","Yes","In progress",4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","Yes","GPC","Decreased",NA,"Yes","Base year emissions (absolute) target","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4215,-75.6972,"CAN"
"42",2020,60656,"City of Piedmont, CA","Piedmont","United States of America","North America","No",11378,"POINT (-122.232 37.8244)","Yes","Yes",3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Yes","Yes","GPC","Increased","Yes","Not intending to undertake","Base year emissions (absolute) target","Yes","Intending to undertake in the next 2 years","Yes",5,3,42,5,8,21,0,NA,9,7,29,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes",37.8244,-122.232,"USA"
"43",2020,60656,"City of Piedmont, CA","Piedmont","United States of America","North America","No",11378,"POINT (-122.232 37.8244)","Yes","Yes",3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Yes","Yes","GPC","Increased","Yes","Not intending to undertake","Baseline scenario (business as usual) target","Yes","Intending to undertake in the next 2 years","Yes",5,3,42,5,8,21,0,NA,9,7,29,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes",37.8244,-122.232,"USA"
"44",2020,54364,"City of Kuala Lumpur","Kuala Lumpur","Malaysia","Southeast Asia and Oceania","No",1790000,"POINT (101.687 3.139)","Yes","In progress",3,24,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",3,"Yes","In progress","GPC",NA,NA,NA,"Base year emissions (absolute) target","Yes","Yes","Intending to undertake in the next 2 years",0,100,0,0,0,0,0,0,0,0,0,"Intending to undertake in the next 2 years",17,2,11,21,5,"No","No",100,"Yes",3.139,101.687,"MYS"
"45",2020,59558,"City of Holland, MI","","United States of America","North America","Yes",33216,"","Yes","Yes",1,20,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,"Do not know","Yes","ICLEI","Decreased","Not intending to undertake","Not intending to undertake","Base year intensity target","Yes","Yes","Yes",0,21.2,61.07,0,0,0,0,10.09,0,7.64,7.64,"Yes",1.3,1.5,13.6,75.3,7.3,"No","No",100,"Intending to undertake in next 2 years",40.7682,-74.2348,"USA"
"46",2020,60369,"Alcaldía Municipal de Armenia","","Colombia","Latin America","No",301226,"","Yes","Yes",4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Not intending to undertake","Yes","Other","This is our first year of calculation","Intending to undertake in the next 2 years","Not intending to undertake","No target","Intending to undertake in the next 2 years","Yes","Do not know",0,0,0,0,100,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,"No","Yes",94.4,"Intending to undertake in next 2 years",13.7455913,-89.5011541871383,"COL"
"47",2020,31186,"Changwon City","Changwon","Republic of Korea","East Asia","No",1072657,"POINT (126.949 35.1542)","Yes","Yes",6,127,NA,NA,NA,NA,NA,NA,NA,NA,"No",4,"Yes","Yes","Other","Increased","Yes","Do not know","Baseline scenario (business as usual) target","Yes","Do not know","Intending to undertake in the next 2 years",0.48,78.9,0.5,2.18,15.7,0,0,0,2.24,0,20.12,"In progress",17.3,1.6,12.4,40.2,28.5,"No","No",98.2,"Intending to undertake in next 2 years",35.1542,126.949,"KOR"
"48",2020,74453,"City of Highland Park, IL","","United States of America","North America","No",29767,"","In progress","Yes",17,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Intending to undertake in the next 2 years","Yes","GPC","Stayed the same","Not intending to undertake","Not intending to undertake","Fixed level target","Intending to undertake in the next 2 years","Yes","Intending to undertake in the next 2 years",0,29,31,0,1,35,0,1,0,3,4,NA,NA,NA,NA,NA,NA,"No","No",100,"Yes",37.577,-77.3865,"USA"
"49",2020,848122,"Alajuela","","Costa Rica","Latin America","Yes",297879,"","Yes","Yes",9,115,0,2,0,0,0,0,0,2,"Yes",1,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","Intending to undertake in the next 2 years","Yes","Do not know",1,2,2,0,60,0,33,0,2,0,62,"Do not know",0,0,0,0,0,"No","No",98,"Intending to undertake in next 2 years",10.0278,-84.2041,"CRI"
"50",2020,43970,"Alcaldía Distrital de Barranquilla","Barranquilla","Colombia","Latin America","No",1236489,"POINT (-74.7782 10.9815)","Yes","Yes",3,0,NA,NA,NA,NA,NA,NA,NA,NA,"No",2,"Do not know","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","Do not know","Yes","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",NA,NA,NA,NA,NA,"No","Do not know",97,"Intending to undertake in next 2 years",10.9815,-74.7782,"COL"
"51",2020,847922,"Junta Municipal de Medio Ambiente Lagunas (JIMAL)","","Mexico","Latin America","Yes",132735,"","Intending to incorporate in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",1,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","Intending to undertake in the next 2 years","Intending to undertake in the next 2 years","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",NA,NA,NA,NA,NA,"No","No",96,"Intending to undertake in next 2 years",37.9850091,-103.5438321,"MEX"
"52",2020,55799,"Arlington, VA","Arlington","United States of America","North America","No",226400,"POINT (-76.0026 37.2265)","Yes","Yes",7,91,NA,NA,NA,NA,NA,NA,NA,NA,"No",6,"In progress","Yes","GPC","Decreased","Not intending to undertake","Intending to undertake in the next 2 years","Fixed level target","Yes","Yes","Yes",1,26,24,0,0,47,0,0,1,1,2,"In progress",21,5,11,60,3,"No","Yes",100,"Yes",37.2265,-76.0026,"USA"
