Unnamed: 0,Year.Reported.to.CDP,Account.Number,Organization,City,Country,CDP.Region,First.Time.Discloser,Population,City.Location,Sustainability.Targets.Master.Planning,Risk.Assessment.Actions,Nb.Hazards.Type,Hazards.Exposure.Level,Adaptation.Challenges.Health,Adaptation.Challenges.Economic,Adaptation.Challenges.Environment,Adaptation.Challenges.Infrastructure,Adaptation.Challenges.Social,Adaptation.Challenges.Governance,Adaptation.Challenges.Education,Adaptation.Challenges.Level,Risk.Health.System,Nb.Adaptation.Actions,Adaptation.Plan,City.Wide.Emissions.Inventory,GHG.Emissions.Primary.protocol,GHG.Emissions.Evolution,GHG.Emissions.Consumption,GHG.Emissions.External.Verification,GHG.Emissions.Reductions.Targets,Emissions.Reductions.Mitigation.Planning,Opportunities.Collaboration,Renewable.Energy.Target,Electricity.Source.Biomass,Electricity.Source.Coal,Electricity.Source.Gas,Electricity.Source.Geothermal,Electricity.Source.Hydro,Electricity.Source.Nuclear,Electricity.Source.Oil,Electricity.Source.Other,Electricity.Source.Solar,Electricity.Source.Wind,Electricity.Source.Renewable,Energy.Efficnecy.Target,Transport.Mode.Passenger.Public,Transport.Mode.Passenger.Cycling,Transport.Mode.Passenger.Other,Transport.Mode.Passenger.Private.motorized,Transport.Mode.Passenger.Walking,Low.Zero.Emission.Zone,Food.Consumption.Policies,Potable.Water.Supply.Percent,Water.Resource.Management.strategy,lat,long,Country.Code.3
14,2020,848408,Municipio de Cajamarca,,Colombia,Latin America,Yes,17309.0,,Yes,Yes,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Do not know,1,Intending to undertake in the next 2 years,Intending to undertake in the next 2 years,,,,,No target,Intending to undertake in the next 2 years,Yes,Not intending to undertake,,,,,,,,,,,,,,,,,,Do not know,No,47.0,Yes,-18.936936300000003,-65.3764224,COL
15,2020,60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,No,64723.0,POINT (-46.0599 -23.8081),Yes,Intending to undertake in the next 2 years,3.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No,3,Intending to undertake in the next 2 years,Not intending to undertake,,,,,No target,Intending to undertake in the next 2 years,Intending to undertake in the next 2 years,Intending to undertake in the next 2 years,0.0,0.0,0.0,0.0,75.0,4.0,19.0,0.0,0.0,2.0,77.0,Intending to undertake in the next 2 years,,,,,,Do not know,Do not know,98.0,In progress,-23.8081,-46.0599,BRA
16,2020,54386,Tainan City Government,Tainan,"Taiwan, Greater China",East Asia,No,1880906.0,POINT (120.227 22.9999),Yes,Yes,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Yes,4,Yes,Yes,GPC,Decreased,Not intending to undertake,Yes,Base year emissions (absolute) target,Yes,Yes,Yes,,4.4,38.6,,1.5,13.5,36.9,,5.1,,,,,,,,,No,Yes,100.0,Yes,22.9999,120.227,TWN
17,2020,840018,Municipalidad Distrital de Ate,,Peru,Latin America,No,647000.0,,In progress,Yes,2.0,18.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,Yes,3,Intending to undertake in the next 2 years,In progress,Other,,,,No target,In progress,Yes,Intending to undertake in the next 2 years,,,,,,,,,,,,In progress,56.0,,39.0,,,No,Do not know,78.0,Intending to undertake in next 2 years,-12.075123699999999,-76.9803947621067,PER
18,2020,845302,Paraíso,,Costa Rica,Latin America,Yes,58030.0,,Not intending to incorporate,Not intending to undertake,1.0,16.0,,,,,,,,,Do not know,1,Not intending to undertake,Not intending to undertake,,,,,No target,Not intending to undertake,Not intending to undertake,Not intending to undertake,,,,,1.0,,,,,,,Do not know,,,,,,Do not know,Do not know,90.0,Yes,9.9764,-84.8339,CRI
19,2020,59572,"District of Saanich, BC",Saanich,Canada,North America,No,114148.0,POINT (123.378 48.4594),Yes,Yes,11.0,40.0,,,,,,,,,Yes,4,Yes,Yes,GPC,Decreased,Yes,Yes,Base year emissions (absolute) target,Yes,Yes,Yes,,0.0,1.76,,95.57,,,2.67,,,,Yes,10.0,5.0,,77.0,8.0,No,Yes,100.0,Yes,48.5142,-123.3839,CAN
20,2020,59572,"District of Saanich, BC",Saanich,Canada,North America,No,114148.0,POINT (123.378 48.4594),Yes,Yes,11.0,40.0,,,,,,,,,Yes,4,Yes,Yes,GPC,Decreased,Yes,Yes,Fixed level target,Yes,Yes,Yes,,0.0,1.76,,95.57,,,2.67,,,,Yes,10.0,5.0,,77.0,8.0,No,Yes,100.0,Yes,48.5142,-123.3839,CAN
21,2020,35859,City of Cleveland,Cleveland,United States of America,North America,No,383793.0,POINT (-81.6944 41.4993),Yes,Yes,3.0,56.0,,,,,,,,,Yes,3,Yes,Yes,GPC,Increased,Not intending to undertake,Intending to undertake in the next 2 years,Base year emissions (absolute) target,Yes,Yes,Yes,0.38,34.85,25.34,0.0,5.74,30.47,0.03,0.89,0.02,2.28,8.04,Yes,10.3,1.1,4.0,78.8,5.8,No,Yes,100.0,Yes,41.4993,-81.6944,USA
22,2020,50354,Alcaldía de Tegucigalpa,Tegucigalpa,Honduras,Latin America,No,1225043.0,POINT (-87.2044 14.1051),Intending to incorporate in the next 2 years,Yes,4.0,65.0,,,,,,,,,,1,Yes,Yes,GPC,Do not know,,Do not know,No target,,,,,,,,,,,,,,,,,,,,,No,No,71.0,Intending to undertake in next 2 years,14.1051,-87.2044,HND
23,2020,50674,Município de Viseu,Viseu,Portugal,Europe,No,97249.0,POINT (-7.91247 40.6566),Yes,Yes,5.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes,5,Yes,Yes,2006 IPCC Guidelines,This is our first year of calculation,Yes,Yes,Base year emissions (absolute) target,Yes,Yes,Yes,6.0,0.0,0.0,0.4,14.3,0.0,0.0,0.0,1.9,22.9,39.5,Yes,0.0,0.0,0.0,,,No,Yes,98.0,In progress,40.6566,-7.91247,PRT
24,2020,31167,City of Lagos,Lagos,Nigeria,Africa,No,21000000.0,POINT (3.3792 6.52437),Yes,Yes,3.0,50.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,Yes,4,Yes,Yes,GPC,Decreased,Intending to undertake in the next 2 years,Yes,No target,Yes,Yes,In progress,,,99.0,,,,,,1.0,,,In progress,47.41,1.0,0.34,11.0,40.0,No,No,40.0,Intending to undertake in next 2 years,6.524369999999999,3.3792,NGA
25,2020,3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,No,8908081.0,POINT (-0.07868 51.5048),Yes,Yes,5.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,No,9,Yes,Yes,City specific methodology,Decreased,Yes,In progress,Base year emissions (absolute) target,Yes,Yes,Yes,,5.1,39.5,0.0,1.7,19.5,2.9,10.4,3.9,17.1,22.7,In progress,35.2,2.4,1.4,36.5,24.4,Yes,Yes,100.0,Intending to undertake in next 2 years,51.5048,-0.07868,GBR
26,2020,60117,Winchester City Council,Winchester,United Kingdom of Great Britain and Northern Ireland,Europe,Yes,124100.0,,Yes,,,,,,,,,,,,,1,,,,,,,Base year emissions (absolute) target,,Intending to undertake in the next 2 years,,,,,,,,,,,,,,,,,,,,,,,-4.4419,15.2663,GBR
27,2020,49342,City of Rochester,Rochester,United States of America,North America,No,210563.0,POINT (-77.6109 43.161),Yes,Yes,4.0,73.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,Do not know,4,Yes,Yes,ICLEI,Do not know,Not intending to undertake,Not intending to undertake,Base year emissions (absolute) target,Yes,Yes,Intending to undertake in the next 2 years,,1.0,8.0,,40.0,41.0,2.0,3.0,,7.0,,Intending to undertake in the next 2 years,30.0,10.0,10.0,40.0,10.0,No,No,100.0,Yes,43.161,-77.6109,USA
28,2020,31108,City of Houston,Houston,United States of America,North America,No,2343365.0,POINT (-95.3694 29.7602),Yes,Yes,7.0,121.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,7.0,Yes,13,Yes,Yes,GPC,Decreased,Intending to undertake in the next 2 years,Intending to undertake in the next 2 years,Base year emissions (absolute) target,Yes,Yes,Yes,0.24,22.62,48.55,0.0,0.22,10.0,0.03,0.55,0.77,17.02,18.01,Yes,3.8,,6.6,78.1,1.5,No,No,100.0,Yes,29.7602,-95.3694,USA
29,2020,50154,City of Turku,Turku,Finland,Europe,No,193000.0,POINT (22.2666 60.4518),Yes,Yes,5.0,91.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,Yes,8,Yes,Yes,2006 IPCC Guidelines,Decreased,Yes,Yes,Base year emissions (absolute) target,Yes,Yes,Yes,12.6,21.0,3.8,0.0,28.1,16.7,0.2,14.9,0.0,2.7,30.8,Yes,10.0,10.0,2.0,49.0,29.0,No,Yes,100.0,Yes,60.4518,22.2666,FIN
30,2020,58310,City of Roanoke,Roanoke,United States of America,North America,No,99920.0,POINT (-79.9414 37.271),Yes,Intending to undertake in the next 2 years,3.0,49.0,,,,,,,,,,1,Do not know,Yes,GPC,Stayed the same,Not intending to undertake,Not intending to undertake,,,,,,,,,,,,,,,,Yes,,,,,,,,,,37.271,-79.9414,USA
31,2020,845309,Puente Piedra,,Peru,Latin America,Yes,,,,Yes,,,,,,,,,,,,1,In progress,Intending to undertake in the next 2 years,,,,,,In progress,,,,,,,,,,,,,,,,,,,,,,,,-11.8768271,-77.07448206507759,PER
32,2020,50220,Métropole Nice Côte d'Azur,Nice,France,Europe,No,540000.0,POINT (7.26195 43.7102),Yes,Yes,1.0,16.0,,,,,,,,,Yes,9,Yes,Yes,GPC,Increased,Not intending to undertake,Not intending to undertake,Base year emissions (absolute) target,Yes,Yes,Yes,1.6,1.4,6.6,,12.0,72.3,0.6,,1.6,3.9,,Yes,10.0,1.0,,46.0,38.0,No,Yes,100.0,Yes,43.7102,7.26195,FRA
33,2020,59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,No,69262.0,POINT (12.4887 55.7335),Yes,Yes,1.0,12.0,,,,,,,,,No,4,Yes,Yes,GPC,Decreased,Intending to undertake in the next 2 years,Not intending to undertake,Base year emissions (absolute) target,Yes,Yes,Yes,18.0,11.0,7.0,0.0,7.0,4.0,1.0,,6.0,46.0,59.0,In progress,18.0,9.0,3.0,66.0,4.0,No,Yes,100.0,Yes,55.7335,12.4887,DNK
34,2020,54667,Prefeitura Municipal de Contagem,Contagem,Brazil,Latin America,No,659070.0,,Intending to incorporate in the next 2 years,Intending to undertake in the next 2 years,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Do not know,3,Intending to undertake in the next 2 years,In progress,GPC,,,,No target,Intending to undertake in the next 2 years,Yes,Do not know,,,,,,,,,,,,Intending to undertake in the next 2 years,,,,,,No,Do not know,,In progress,-21.53879635,-42.1809782686909,BRA
35,2020,16581,City of Seattle,Seattle,United States of America,North America,No,704352.0,POINT (-122.332 47.6062),Yes,Yes,3.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,Yes,10,Yes,Yes,ICLEI,Decreased,Intending to undertake in the next 2 years,Yes,Base year emissions (absolute) target,Yes,Yes,Yes,1.0,0.0,0.0,0.0,86.0,5.0,0.0,1.0,0.0,7.0,93.0,Yes,5.2,0.9,1.9,80.6,11.3,No,Yes,100.0,Yes,47.6062,-122.33200000000001,USA
36,2020,60400,Municipalidad de Temuco,,Chile,Latin America,No,282415.0,,Yes,Intending to undertake in the next 2 years,2.0,33.0,,,,,,,,,No,1,Yes,Intending to undertake in the next 2 years,,,,,Fixed level target,In progress,Intending to undertake in the next 2 years,Not intending to undertake,53.7,3.9,12.1,,,,4.5,25.8,,,,Do not know,,,,,,No,No,100.0,Intending to undertake in next 2 years,-38.739793299999995,-72.59092890000001,CHL
37,2020,31051,Coventry City Council,Coventry,United Kingdom of Great Britain and Northern Ireland,Europe,No,366785.0,POINT (-1.51217 52.4066),Yes,Yes,5.0,62.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,Yes,4,Yes,Yes,Regional or country specific methodology,Decreased,Not intending to undertake,Not intending to undertake,Base year emissions (absolute) target,Yes,Yes,Intending to undertake in the next 2 years,8.6,6.0,38.0,8.6,8.6,11.0,0.0,2.0,8.6,8.6,34.4,Intending to undertake in the next 2 years,17.0,3.0,0.0,64.0,16.0,No,No,,Not intending to undertake,52.4066,-1.51217,GBR
38,2020,35883,City of San José,"San José, CA",United States of America,North America,No,1046079.0,POINT (-121.886 37.3382),Yes,Yes,6.0,103.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,Yes,14,Yes,Yes,GPC,Decreased,Intending to undertake in the next 2 years,Not intending to undertake,Fixed level target,Yes,Yes,Yes,5.0,0.0,0.0,2.0,36.0,0.0,0.0,17.0,30.0,10.0,78.0,Yes,3.9,0.6,5.7,87.8,2.0,No,Yes,100.0,Yes,37.3382,-121.88600000000001,USA
39,2020,44299,Dangjin City,Dangjin-si,Republic of Korea,East Asia,Yes,166057.0,,Yes,Yes,,,,,,,,,,,,1,,Yes,Other,Increased,Do not know,Do not know,No target,Do not know,Yes,Yes,,80.0,15.0,,,,,5.0,,,,Do not know,,,,,,No,Do not know,100.0,Intending to undertake in next 2 years,36.8944,126.6297,KOR
40,2020,62855,Egedal Municipality,Egedal,Denmark,Europe,No,43354.0,POINT (12.2387 55.795),Yes,Yes,4.0,26.0,,,,,,,,,No,3,Yes,Yes,GPC,Stayed the same,Not intending to undertake,Not intending to undertake,Base year emissions (absolute) target,Yes,Yes,Yes,13.0,9.0,7.0,0.0,11.0,5.0,1.0,5.0,4.0,45.0,60.0,Yes,8.0,11.0,4.0,64.0,14.0,No,Yes,100.0,Yes,55.795,12.2387,DNK
41,2020,43911,City of Ottawa,Ottawa,Canada,North America,No,991429.0,POINT (-75.6972 45.4215),Yes,In progress,4.0,90.0,,,,,,,,,,1,Yes,Yes,GPC,Decreased,,Yes,Base year emissions (absolute) target,Yes,,,,,,,,,,,,,,,,,,,,,,,,45.4215,-75.6972,CAN
42,2020,60656,"City of Piedmont, CA",Piedmont,United States of America,North America,No,11378.0,POINT (-122.232 37.8244),Yes,Yes,3.0,28.0,,,,,,,,,,2,Yes,Yes,GPC,Increased,Yes,Not intending to undertake,Base year emissions (absolute) target,Yes,Intending to undertake in the next 2 years,Yes,5.0,3.0,42.0,5.0,8.0,21.0,0.0,,9.0,7.0,29.0,,,,,,,No,No,,Yes,37.8244,-122.23200000000001,USA
43,2020,60656,"City of Piedmont, CA",Piedmont,United States of America,North America,No,11378.0,POINT (-122.232 37.8244),Yes,Yes,3.0,28.0,,,,,,,,,,2,Yes,Yes,GPC,Increased,Yes,Not intending to undertake,Baseline scenario (business as usual) target,Yes,Intending to undertake in the next 2 years,Yes,5.0,3.0,42.0,5.0,8.0,21.0,0.0,,9.0,7.0,29.0,,,,,,,No,No,,Yes,37.8244,-122.23200000000001,USA
44,2020,54364,City of Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia and Oceania,No,1790000.0,POINT (101.687 3.139),Yes,In progress,3.0,24.0,,,,,,,,,Yes,3,Yes,In progress,GPC,,,,Base year emissions (absolute) target,Yes,Yes,Intending to undertake in the next 2 years,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intending to undertake in the next 2 years,17.0,2.0,11.0,21.0,5.0,No,No,100.0,Yes,3.139,101.68700000000001,MYS
45,2020,59558,"City of Holland, MI",,United States of America,North America,Yes,33216.0,,Yes,Yes,1.0,20.0,,,,,,,,,Yes,1,Do not know,Yes,ICLEI,Decreased,Not intending to undertake,Not intending to undertake,Base year intensity target,Yes,Yes,Yes,0.0,21.2,61.07,0.0,0.0,0.0,0.0,10.09,0.0,7.64,7.64,Yes,1.3,1.5,13.6,75.3,7.3,No,No,100.0,Intending to undertake in next 2 years,40.7682,-74.2348,USA
46,2020,60369,Alcaldía Municipal de Armenia,,Colombia,Latin America,No,301226.0,,Yes,Yes,4.0,44.0,,,,,,,,,,4,Not intending to undertake,Yes,Other,This is our first year of calculation,Intending to undertake in the next 2 years,Not intending to undertake,No target,Intending to undertake in the next 2 years,Yes,Do not know,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,No,Yes,94.4,Intending to undertake in next 2 years,13.7455913,-89.5011541871383,COL
47,2020,31186,Changwon City,Changwon,Republic of Korea,East Asia,No,1072657.0,POINT (126.949 35.1542),Yes,Yes,6.0,127.0,,,,,,,,,No,4,Yes,Yes,Other,Increased,Yes,Do not know,Baseline scenario (business as usual) target,Yes,Do not know,Intending to undertake in the next 2 years,0.48,78.9,0.5,2.18,15.7,0.0,0.0,0.0,2.24,0.0,20.12,In progress,17.3,1.6,12.4,40.2,28.5,No,No,98.2,Intending to undertake in next 2 years,35.1542,126.949,KOR
48,2020,74453,"City of Highland Park, IL",,United States of America,North America,No,29767.0,,In progress,Yes,17.0,180.0,,,,,,,,,,2,Intending to undertake in the next 2 years,Yes,GPC,Stayed the same,Not intending to undertake,Not intending to undertake,Fixed level target,Intending to undertake in the next 2 years,Yes,Intending to undertake in the next 2 years,0.0,29.0,31.0,0.0,1.0,35.0,0.0,1.0,0.0,3.0,4.0,,,,,,,No,No,100.0,Yes,37.577,-77.3865,USA
49,2020,848122,Alajuela,,Costa Rica,Latin America,Yes,297879.0,,Yes,Yes,9.0,115.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Yes,1,Intending to undertake in the next 2 years,Intending to undertake in the next 2 years,,,,,No target,Intending to undertake in the next 2 years,Yes,Do not know,1.0,2.0,2.0,0.0,60.0,0.0,33.0,0.0,2.0,0.0,62.0,Do not know,0.0,0.0,0.0,0.0,0.0,No,No,98.0,Intending to undertake in next 2 years,10.0278,-84.2041,CRI
50,2020,43970,Alcaldía Distrital de Barranquilla,Barranquilla,Colombia,Latin America,No,1236489.0,POINT (-74.7782 10.9815),Yes,Yes,3.0,0.0,,,,,,,,,No,2,Do not know,Intending to undertake in the next 2 years,,,,,No target,Do not know,Yes,Do not know,,,,,,,,,,,,Do not know,,,,,,No,Do not know,97.0,Intending to undertake in next 2 years,10.9815,-74.7782,COL
51,2020,847922,Junta Municipal de Medio Ambiente Lagunas (JIMAL),,Mexico,Latin America,Yes,132735.0,,Intending to incorporate in the next 2 years,Intending to undertake in the next 2 years,,,,,,,,,,,Do not know,1,Intending to undertake in the next 2 years,Intending to undertake in the next 2 years,,,,,No target,Intending to undertake in the next 2 years,Intending to undertake in the next 2 years,Do not know,,,,,,,,,,,,Do not know,,,,,,No,No,96.0,Intending to undertake in next 2 years,37.9850091,-103.5438321,MEX
52,2020,55799,"Arlington, VA",Arlington,United States of America,North America,No,226400.0,POINT (-76.0026 37.2265),Yes,Yes,7.0,91.0,,,,,,,,,No,6,In progress,Yes,GPC,Decreased,Not intending to undertake,Intending to undertake in the next 2 years,Fixed level target,Yes,Yes,Yes,1.0,26.0,24.0,0.0,0.0,47.0,0.0,0.0,1.0,1.0,2.0,In progress,21.0,5.0,11.0,60.0,3.0,No,Yes,100.0,Yes,37.2265,-76.0026,USA
53,2020,49339,City and County of Honolulu,Honolulu,United States of America,North America,No,974563.0,POINT (157.59 21.28),Yes,Yes,4.0,100.0,,,,,,,,,Yes,40,In progress,Yes,GPC,Increased,Intending to undertake in the next 2 years,Yes,Fixed level target,Yes,Yes,Yes,0.0,18.6,0.0,0.0,0.0,0.0,64.0,5.9,8.9,2.6,11.5,Intending to undertake in the next 2 years,11.4,,,77.0,11.6,No,Yes,99.0,Yes,38.6317,-90.479,USA
54,2020,73765,Tuguegarao City,,Philippines,Southeast Asia and Oceania,Yes,165700.0,,Yes,Yes,1.0,25.0,,,,,,,,,Yes,1,Yes,Yes,City specific methodology,,,,No target,Do not know,Yes,Do not know,,,,,100.0,,,,,,,Do not know,0.0,,0.0,,,Yes,,98.0,,17.6167,121.7167,PHL
55,2020,60274,Prefeitura de Cruzeiro do Sul,Cruzeiro do Sul,Brazil,Latin America,No,88376.0,POINT (-72.6761 -7.62799),In progress,Yes,1.0,25.0,,,,,,,,,,1,Do not know,,,,,,,Do not know,Do not know,Do not know,,,,,,,,,,,,,,,,,,No,,90.0,Yes,-7.62799,-72.6761,BRA
